,Metabolite,Formula,Polarity (z),Ion Mode,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,KO - 1,KO - 2,KO - 3,KO - 4,WT - 1,WT - 2,WT - 3,WT - 4,Blank_0,Blank_1,Blank_2,Blank_3,Blank_4,Blank_5,Blank_6,ttest_pval,1/pvalue,KO_Mean,WT_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
62,Homocysteine,C4H9NO2S,-,ESI,7.3,9.3,10,0.2,134.0281,134.0272,-6.6,S02483,8.41,8.3,8.49,0.19,5865278.0,5189900.0,5484653.0,5106082.0,6261250.0,6573472.0,5773044.0,5551615.0,8762,11961,10215,442629,46910,609969,42780,0.07205938761249261,13.877442386516124,5411478.25,6039845.25,-0.15848883803029523,0.895963062960926,512811.14285714284,5725661.75,89.0,8
63,Hypotaurine,C2H7NO2S,-,ESI,10.0,12.0,10,0.2,108.0125,108.0117,-7.6,S02473,11.27,11.17,11.49,0.32,14390.0,18238.0,23961.0,18419.0,10484.714285714286,10484.714285714286,10484.714285714286,10484.714285714286,0,0,0,0,0,1131,0,0.005697366212727997,175.51969851718252,18752.0,10484.714285714286,0.8387569271435271,1.7885084408594825,10484.714285714286,14618.357142857143,5.0,4
64,Hypoxanthine,C5H4N4O,+,ESI,5.8,7.8,10,0.2,137.0458,137.0456,-1.3,S02468,6.98,6.91,7.09,0.18,3131638.0,2579546.0,3216158.0,2957041.0,2771326.0,2768788.0,2460461.0,2690653.0,0,0,0,4968,0,4776,0,0.10989564283615369,9.099541839806392,2971095.75,2672807.0,0.15263943373229916,1.1116013052943965,14176.0,2821951.375,29.0,8
65,Inosine,C10H12N4O5,+,ESI,6.4,8.4,10,0.2,269.08799999999997,269.0872,-3.1,S02482,7.61,7.55,7.76,0.21,299704.0,184858.0,503922.0,335742.0,54514.0,100297.0,79159.0,105015.0,1470,0,0,5590,2340,5001,1920,0.010372875121686513,96.40528669908552,331056.5,84746.25,1.9658560207655202,3.9064442379456317,16994.714285714286,207901.375,78.0,8
66,Inosinic acid,C10H13N4O8P,+,ESI,11.4,13.4,10,0.2,349.0544,349.05199999999996,-6.8,S02485,12.59,12.5,12.64,0.14,194143.42857142858,194143.42857142858,194143.42857142858,194143.42857142858,194143.42857142858,194143.42857142858,194143.42857142858,194143.42857142858,68331,63640,75091,58699,60474,49643,53790,NA,NA,194143.42857142858,194143.42857142858,0.0,1.0,194143.42857142858,194143.42857142858,0.0,0
67,L-Acetylcarnitine,C9H17NO4,+,ESI,6.3,8.3,10,0.2,204.123,204.1227,-1.5,S02483,7.48,7.25,7.57,0.33,10339.42857142857,10339.42857142857,10339.42857142857,10339.42857142857,10339.42857142857,10339.42857142857,10339.42857142857,10339.42857142857,0,0,0,0,792,0,0,NA,NA,10339.42857142857,10339.42857142857,0.0,1.0,10339.42857142857,10339.42857142857,0.0,0
68,L-Alanine,C3H7NO2,+,ESI,10.6,11.3,10,0.2,90.055,90.0555,5.6,S02483,11.02,10.97,11.11,0.14,1701093.0,1791257.0,1803986.0,2052984.0,2335080.0,2469424.0,2764921.0,1978872.0,359251,358121,435453,297150,264334,270258,252688,0.022210697198661054,45.023350282776526,1837330.0,2387074.25,-0.37763267223297625,0.769699560036727,968823.5714285715,2112202.125,124.0,8
69,L-Arginine,C6H14N4O2,+,ESI,18.0,20.0,10,0.2,175.11900000000003,175.1187,-1.6,S02483,19.36,19.28,19.42,0.14,20845.0,19477.0,23685.0,18771.0,297802.0,429862.0,341847.0,284322.0,1469,1370,1480,5148,1836,2562,2097,7.020360322685558e-05,14244.283114195789,20694.5,338458.25,-4.0316585862001375,0.061143434973146615,16840.857142857145,179576.375,41835.0,8
70,L-Asparagine,C4H8N2O3,+,ESI,10.3,12.3,10,0.2,133.0608,133.0607,-0.6,S02483,11.58,11.44,11.69,0.25,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
71,L-Aspartic acid,C4H7NO4,-,ESI,10.8,12.8,10,0.2,132.0302,132.0291,-8.6,S02468,12.01,11.98,12.08,0.11,7330566.0,6758738.0,7197961.0,7008306.0,8911059.0,10814122.0,8217962.0,8572513.0,8626,10221,9017,677735,49317,940099,56864,0.01332344216585513,75.0556791219289,7073892.75,9128914.0,-0.3679388976086138,0.7748887490888839,760805.2857142857,8101403.375,785.0,8
72,L-Carnitine,C7H15NO3,+,ESI,8.3,10.3,10,0.2,162.1125,162.1123,-1.2,S02483,9.57,9.43,9.71,0.28,10807.428571428572,10807.428571428572,10807.428571428572,10807.428571428572,10807.428571428572,10807.428571428572,10807.428571428572,10807.428571428572,0,1051,0,0,0,0,833,NA,NA,10807.428571428572,10807.428571428572,0.0,1.0,10807.428571428572,10807.428571428572,0.0,0
73,L-Cystathionine,C7H14N2O4S,+,ESI,12.2,14.2,10,0.2,223.0747,223.0737,-4.4,S02483,13.36,13.26,13.6,0.34,71553.0,63090.0,64398.0,44145.0,61639.0,63699.0,67269.0,61278.0,0,0,0,1785,0,13344,0,0.6720321533505734,1.4880240402401377,60796.5,63471.25,-0.06211498387366624,0.9578588731118419,16483.857142857145,62133.875,0.0,8
74,L-Cysteine,C3H7NO2S,+,ESI,13.0,17.0,10,0.2,122.027,122.0271,0.5,S02481,15.83,15.7,15.92,0.21,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
75,L-Cystine,C6H12N2O4S2,-,ESI,11.7,13.7,10,0.2,239.0166,239.0159,-2.7,S02487,12.9,12.83,13.08,0.25,36945.0,22781.0,23869.0,31733.0,16713.0,21731.0,35601.0,24196.0,1150,0,0,1202,0,1591,0,0.4445159851811614,2.2496378833090835,28832.0,24560.25,0.23134567021704913,1.1739294184709033,11689.857142857143,26696.125,0.0,8
76,L-Glutamic acid,C5H9NO4,+,ESI,10.0,13.0,10,0.2,148.0604,148.0602,-1.8,S02483,11.75,11.69,11.78,0.1,10000.0,10000.0,14478.0,11054.0,15709.0,18490.0,12218.0,18575.0,0,0,0,0,0,0,0,0.038097650519253554,26.2483377943379,11383.0,16248.0,-0.5133813133994696,0.7005785327424914,10000.0,13815.5,1.0,6
