,Metabolite,Formula,Polarity (z),Ion Mode,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,KO - 1,KO - 2,KO - 3,KO - 4,WT - 1,WT - 2,WT - 3,WT - 4,Blank_0,Blank_1,Blank_2,Blank_3,Blank_4,Blank_5,Blank_6,ttest_pval,1/pvalue,KO_Mean,WT_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
0,1-Methylnicotinamide,C7H8N2O,+,ESI,15.3,17.3,10,0.2,137.0709,137.0712,1.5,SQ193_B_6,17.29,17.05,17.31,0.26,200685.0,167393.0,166307.0,159255.0,326879.0,368498.0,276895.0,273505.0,22973,23651,28059,28925,27353,33889,25840,0.0013165692693190953,759.5498568162548,173410.0,311444.25,-0.8447868405290315,0.5567930697066971,91724.28571428571,242427.125,331.0,8
1,"2,3-Diphosphoglyceric acid",C3H8O10P2,-,ESI,12.0,15.0,10,0.2,264.952,264.9496,-9.1,S02473,14.99,14.81,15.0,0.19,17292354.0,15824005.0,18671208.0,16737690.0,23256520.0,26347202.0,22122606.0,21826552.0,41546,46037,42602,770042,44720,946875,53431,0.0019284368151750938,518.5547133983772,17131314.25,23388220.0,-0.44914623331943243,0.7324761888677291,843679.8571428573,20259767.125,14343.0,8
2,3-Hydroxybutyric acid,C4H8O3,-,ESI,5.7,7.7,10,0.2,103.0401,103.0391,-9.6,S02487,7.15,6.91,7.39,0.48,1398941.0,1202948.0,1374889.0,1248721.0,1020383.0,1234170.0,958204.0,1037306.0,26914,21823,23483,65946,25342,58728,28927,0.018790267366373854,53.2190405012305,1306374.75,1062515.75,0.29808458451836334,1.2295109507788473,117641.28571428571,1184445.25,78.0,8
3,3-Phosphoglyceric acid,C3H7O7P,-,ESI,13.0,15.0,10,0.2,184.9857,184.9847,-5.3,S02468,14.19,14.05,14.23,0.18,31588928.0,27601538.0,32724840.0,28136322.0,40301868.0,44145316.0,35533780.0,35182192.0,1184885,1420555,1205288,1306278,1212287,1366148,1210601,0.012210551015453304,81.89638606271168,30012907.0,38790789.0,-0.370131057678092,0.7737122078130455,3826875.1428571427,34401848.0,3641.0,8
4,"4,5-Dihydroorotic acid",C5H6N2O4,-,ESI,7.5,9.5,10,0.2,157.0255,157.0249,-3.6,S02483,8.64,8.41,8.84,0.43,7999205.0,7600936.0,8225414.0,7293170.0,11912270.0,13028898.0,10768397.0,11009040.0,1139882,1177582,1123022,1260786,1136960,1334164,1123914,0.0004068284935293414,2458.038254215539,7779681.25,11679651.25,-0.5862142452620301,0.6660884887294901,3565561.428571429,9729666.25,35905.0,8
5,4-Hydroxyproline,C5H9NO3,+,ESI,10.2,11.2,10,0.2,132.0655,132.0665,7.6,S02483,10.83,10.65,10.87,0.22,228694.0,184160.0,283662.0,214789.0,257561.0,295309.0,219367.0,237333.0,10670,17215,14838,14228,15536,11587,13862,0.38846630622298717,2.5742258311226114,227826.25,252392.5,-0.14773505732187447,0.9026664817694662,51972.57142857143,240109.375,1.0,8
6,5'-Methylthioadenosine,C11H15N5O3S,+,ESI,3.0,5.0,10,0.2,298.0968,298.0963,-1.9,S02483,4.09,4.02,4.31,0.29,45120508.0,40407712.0,44439740.0,42574752.0,56661108.0,62277088.0,50024332.0,52928800.0,22770,25232,25402,3477374,136353,5123818,190915,0.004910504529221884,203.64506214160025,43135678.0,55472832.0,-0.3628997476199041,0.7776000691653889,3867941.714285714,49304255.0,12912.0,8
7,5-Phosphoribosylamine,C5H12NO7P,-,ESI,11.5,13.5,10,0.2,228.0279,228.0275,-1.7,S02487,11.74,11.74,11.74,0.0,15449697.0,13107102.0,15690215.0,13325410.0,23434106.0,24017248.0,20298282.0,20979498.0,69244,76212,73813,332990,75798,460744,83233,0.0004767477229870899,2097.54541402829,14393106.0,22182283.5,-0.6240299317668974,0.6488559214383858,512300.28571428574,18287694.75,59118.0,8
8,6-Phosphogluconic acid,C6H13O10P,-,ESI,14.0,17.0,10,0.2,275.0174,275.0178,1.7,S02476,15.23,15.23,15.23,0.0,15315294.0,14576968.0,17036736.0,13878366.0,23638650.0,25177664.0,20899678.0,20479460.0,50891,60554,57192,290946,70073,458538,65066,0.0013752073591679552,727.163066233904,15201841.0,22548863.0,-0.5688086390741995,0.6741732831495761,461397.14285714284,18875352.0,20359.0,8
9,Acetoacetic acid,C4H6O3,-,ESI,8.3,10.3,10,0.2,101.0244,101.0235,-9.6,S02484,9.97,9.78,10.22,0.44,10957.0,19891.0,22612.0,20303.0,64621.0,38573.0,57672.0,25801.0,0,0,0,0,0,0,0,0.02232367321464595,44.79549536426324,18440.75,46666.75,-1.3394976650576598,0.39515822293174474,10000.0,32553.75,4.0,8
10,Acetyl-CoA,C23H38N7O17P3S,+,ESI,8.0,11.0,10,0.2,810.1331,810.1342,1.4,S02481,10.84,10.84,10.84,0.0,10000.0,10000.0,26324.0,10654.0,26435.0,14908.0,32534.0,31393.0,0,0,0,0,0,0,0,0.07836096066676987,12.761456616803128,14244.5,26317.5,-0.8856174663347756,0.5412558183718058,10000.0,20281.0,0.0,6
11,Acetylcysteine,C5H9NO3S,+,ESI,6.0,8.0,10,0.2,164.0376,164.0377,0.6,S02470,7.18,7.0,7.22,0.22,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
12,Adenine,C5H5N5,+,ESI,5.0,7.0,10,0.2,136.0618,136.0616,-1.0,S02482,6.19,5.95,6.31,0.36,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
13,Adenosine,C10H13N5O4,+,ESI,4.5,7.0,10,0.2,268.10400000000004,268.1035,-1.9,S02486,5.78,5.69,5.88,0.2,14292.0,15250.0,17026.0,14982.0,26954.0,17378.0,21294.0,20117.0,1573,1876,1357,0,0,0,1014,0.027877659760911937,35.871016741589216,15387.5,21435.75,-0.47826003874472917,0.7178428559765812,12494.285714285714,18411.625,1.0,8
14,Adenosine diphosphate ribose,C15H23N5O14P2,-,ESI,10.9,12.9,10,0.2,558.0644,558.0645,0.1,S02483,11.96,11.92,12.03,0.1,25795.0,20514.0,13358.0,13708.0,24194.0,22721.0,27965.0,24867.0,1823,2002,1365,1193,0,836,0,0.08337699147600541,11.993716519356353,18343.75,24936.75,-0.4429848531352715,0.7356110960730649,13093.857142857143,21640.25,0.0,8
15,Adenosine monophosphate,C10H14N5O7P,+,ESI,9.8,11.8,10,0.2,348.0704,348.0697,-2.0,S02482,10.82,10.77,10.89,0.13,1171856.0,1043836.0,1229566.0,1054426.0,1353516.0,1636281.0,1181424.0,1281574.0,5251,2286,3832,5399,4746,5684,4351,0.06882166932201664,14.530307239729964,1124921.0,1363198.75,-0.27717222914869694,0.8252068893108947,23521.0,1244059.875,22.0,8
16,Adenosine triphosphate,C10H16N5O13P3,-,ESI,12.5,14.5,10,0.2,505.9885,505.9878,-1.4,S02469,13.66,13.54,13.83,0.29,160829616.0,143149984.0,148118080.0,132508352.0,141448960.0,154575856.0,132095912.0,138409264.0,75194,68492,43962,9616590,530860,19624006,1009398,0.5711818295666278,1.7507559733801914,146151508.0,141632498.0,0.04531238094047219,1.0319065896867823,13282215.142857144,143892003.0,260.0,8
17,Adenylsuccinic acid,C14H18N5O11P,-,ESI,14.5,16.5,10,0.2,462.0668,462.0685,3.7,S02468,15.58,15.54,15.73,0.19,72122928.0,66488300.0,72005584.0,70084216.0,72405480.0,78907848.0,76201496.0,81683816.0,22026,20288,18310,2427882,96107,2144375,73234,0.024032481340573474,41.61035166650576,70175257.0,77299660.0,-0.13949962624655685,0.9078339671869191,2068095.142857143,73737458.5,3380.0,8
18,ADP,C10H15N5O10P2,-,ESI,11.1,13.1,10,0.2,426.0221,426.022,-0.2,S02468,12.23,12.14,12.38,0.24,1084693.8571428573,1305787.0,1612087.0,1084693.8571428573,2444856.0,1393863.0,1489978.0,1469224.0,697817,746367,601824,167366,98185,122499,73561,0.1759599035503021,5.683112912789972,1271815.4285714286,1699480.25,-0.41820428054290265,0.7483555213845108,1084693.8571428573,1485647.8392857143,11.0,6
19,Allantoin,C4H6N4O3,+,ESI,9.3,11.3,10,0.2,159.0513,159.0519,3.8,S02483,10.4,10.36,10.52,0.15,17087508.0,16237178.285714284,16237178.285714284,16237178.285714284,20592556.0,23922830.0,23954286.0,18876566.0,4076352,4193397,3310245,8146364,5508708,7551292,5077058,0.005651534331050193,176.94309924048105,16449760.714285713,21836559.5,-0.40867896963175104,0.753312842816915,16237178.285714284,19143160.10714286,4496.0,5
20,Aminoadipic acid,C6H11NO4,-,ESI,5.9,7.9,10,0.2,160.0615,160.0605,-6.2,S02482,6.96,6.9,7.19,0.29,11875.0,11875.0,11875.0,11875.0,21670.0,15003.0,11875.0,11875.0,0,2009,2366,0,0,0,0,0.21126225143021923,4.733453294330265,11875.0,15105.75,-0.34717030216275563,0.7861244890190822,11875.0,13490.375,0.0,2
21,Argininosuccinic acid,C10H18N4O6,-,ESI,12.5,14.5,10,0.2,289.1154,289.1156,0.7,S02483,13.68,13.57,13.83,0.25,26524.0,23377.0,26158.0,51719.0,18254.714285714286,57382.0,28736.0,18254.714285714286,0,0,0,4422,1724,11075,2040,0.9135694931217779,1.0946074792656206,31944.5,30656.857142857145,0.05935775510694081,1.0420017893922588,18254.714285714286,31300.678571428572,0.0,6
22,Beta-Alanine,C3H7NO2,+,ESI,9.8,10.5,10,0.2,90.055,90.0555,5.8,S02483,10.3,10.18,10.45,0.27,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
23,Betaine,C5H11NO2,+,ESI,7.0,8.1,10,0.2,118.0863,118.0863,0.7,S02483,7.77,7.72,8.02,0.29,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
24,Butyrylcarnitine,C11H21NO4,+,ESI,4.2,6.2,10,0.2,232.1543,232.1539,-1.8,S02483,5.4,5.27,5.64,0.36,10534.0,10534.0,10534.0,10534.0,10534.0,10534.0,10534.0,10534.0,1246,0,0,0,0,0,0,NA,NA,10534.0,10534.0,0.0,1.0,10534.0,10534.0,0.0,0
25,Carbamoyl phosphate,CH4NO5P,-,ESI,22.6,24.6,10,0.2,139.9754,139.9745,-6.5,S02482,24.46,24.41,24.58,0.16,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
26,Carnosine,C9H14N4O3,+,ESI,10.6,12.6,10,0.2,227.1139,227.113,-3.8,S02482,11.79,11.7,12.04,0.34,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
27,CDP,C9H15N3O11P2,+,ESI,13.0,15.0,10,0.2,404.0255,404.0232,-5.7,S02468,14.18,14.08,14.31,0.23,17050720.42857143,17050720.42857143,17050720.42857143,17050720.42857143,17050720.42857143,17050720.42857143,17050720.42857143,17050720.42857143,5971452,6060878,5062288,6770535,3631619,8962406,3302503,NA,NA,17050720.42857143,17050720.42857143,0.0,1.0,17050720.42857143,17050720.42857143,0.0,0
28,Choline,C5H13NO,+,ESI,12.1,14.1,10,0.2,104.10700000000001,104.1073,3.0,S02483,13.66,13.62,13.76,0.14,87111.14285714286,87111.14285714286,87111.14285714286,87111.14285714286,87111.14285714286,87111.14285714286,87111.14285714286,87111.14285714286,30358,33534,33790,20035,18789,27627,15793,NA,NA,87111.14285714286,87111.14285714286,0.0,1.0,87111.14285714286,87111.14285714286,0.0,0
29,cis-Aconitic acid,C6H6O6,-,ESI,14.1,16.1,10,0.2,173.0092,173.0083,-4.9,S02468,15.21,15.18,15.24,0.06,16555.857142857145,16555.857142857145,16555.857142857145,16555.857142857145,16555.857142857145,16555.857142857145,16555.857142857145,16555.857142857145,2030,2425,2028,2303,2069,2647,1795,NA,NA,16555.857142857145,16555.857142857145,0.0,1.0,16555.857142857145,16555.857142857145,0.0,0
30,Citric acid,C6H8O7,-,ESI,14.2,16.2,10,0.2,191.0197,191.019,-3.8,S02468,15.39,15.25,15.5,0.25,418814.0,543776.0,480858.0,599401.0,1168136.0,926108.0,918470.0,520975.0,26457,31603,25951,30033,15833,31425,15393,0.03701121025190139,27.01884086453581,510712.25,883422.25,-0.7905925046539868,0.5781066188903438,85726.42857142858,697067.25,33.0,8
31,Citrulline,C6H13N3O3,+,ESI,10.9,12.9,10,0.2,176.10299999999998,176.10299999999998,0.2,S02486,12.08,12.08,12.29,0.22,11750.714285714286,12369.0,11750.714285714286,11750.714285714286,13734.0,13251.0,12150.0,11750.714285714286,0,1141,1513,0,1431,0,0,0.1456782926633271,6.864440691318858,11905.285714285714,12721.428571428572,-0.09565844508801452,0.9358450308815272,11750.714285714286,12313.357142857143,0.0,4
32,Creatine,C4H9N3O2,+,ESI,10.0,11.5,10,0.2,132.0768,132.076,-5.3,S02468,10.85,10.84,11.07,0.23,29679.0,23121.0,61511.0,51804.0,61546.0,59735.0,57888.0,79924.0,2127,2272,1562,3503,0,1115,0,0.06671848046082615,14.98835095003627,41528.75,64773.25,-0.641287685340293,0.6411404399192568,14533.857142857143,53151.0,1.0,8
33,Creatinine,C4H7N3O,+,ESI,5.2,7.2,10,0.2,114.0662,114.0664,2.2,S02482,6.43,6.28,6.57,0.29,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
34,Cyclic AMP,C10H12N5O6P,-,ESI,5.8,7.8,10,0.2,328.0452,328.0451,-0.3,S02483,6.96,6.73,7.04,0.31,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
35,Cytidine,C9H13N3O5,+,ESI,7.1,9.1,10,0.2,244.0928,244.0926,-0.8,S02482,8.33,8.29,8.43,0.14,11863.0,11863.0,30901.0,12938.0,20094.0,18398.0,17945.0,25000.0,1385,1502,1460,0,0,0,0,0.5095968994812499,1.962335330175599,16891.25,20359.25,-0.26940832039112644,0.8296597369745938,11863.0,18625.25,0.0,6
