Metabolite,OLFR2 A,OLFR2 B,OLFR2 C,GPI1 A,GPI1 B,GPI1 C,GPI1 D
L-Glutamine,256149536,270277344,156882384,202768064,93567056,111536424,230400656
L-Methionine,5677805,5739692,2920530,2514059,1480946,1826354,4152830
Ornithine,507786,521919,868784,617520,380043,309736,585109
5-Phosphoribosylamine,0,0,0,0,0,0,0
Phosphoribosyl pyrophosphate,0,0,0,0,0,0,0
Choline,11123939,9225778,12159970,8679777,10134730,3604886,12154656
Phosphorylcholine,6019,4360,3756,4056,8600,4964,4854
Orotic acid,122764,177489,45465,20990,5046,12230,23705
Hypoxanthine,3839154,6434644,1843450,120781,169034,160399,500799
Xanthine,28902,47590,74046,15831,15584,22034,44657
Uric acid,0,0,0,7653,0,0,0
Adenine,309388,292933,765621,264663,1255914,1478366,291346
Guanine,175017,295569,83988,72568,58339,59019,111565
"4,5-Dihydroorotic acid",144425,114142,25754,13464,2382,10286,16030
Oxoglutaric acid,1922870,2014047,1007135,1568965,192014,152399,1293574
Ureidosuccinic acid,1911293,1730251,827260,254963,19612,18068,374667
D-2-Hydroxyglutaric acid,4954080,7345384,2292977,1790327,871315,929516,1820837
L-Proline,209016288,235199296,108623720,151074640,62990872,81468776,154595344
Acetylcysteine,21735,0,0,10326,0,0,0
Pipecolic acid,144636,125256,125709,122591,103263,123291,138883
Aminoadipic acid,113633,139390,53186,60887,39885,44037,67890
L-Cystine,3608,0,2336,2282,0,0,3169
D-Glucose,663437,293667,375756,234590,339544,414913,1228672
Citrulline,686365,1004757,1142232,632493,210245,238548,666050
6-Phosphogluconic acid,0,0,0,0,0,0,0
"Fructose 1,6-bisphosphate",2731,0,0,0,0,0,0
Nicotinic acid,12857,15974,12296,17940,15223,15969,22101
Niacinamide,4846874,5226123,2113028,1707861,1534044,1905686,3866887
Phenol,0,0,26156,0,0,0,0
cis-Aconitic acid,205016,216287,126328,496519,106317,107836,410703
Oxoadipic acid,9193,8827,8329,11462,8809,8571,9659
Citric acid,1230374,940382,684693,2115976,259392,156345,942670
L-Histidine,61142,62220,49852,39983,41878,40226,60910
N-Acetylglutamic acid,91748,133846,35716,80436,28468,39151,75219
N-Acetylglutamine,28631,27530,14187,18090,11251,5667,17361
N-Acetyl-L-methionine,24363,25749,15712,13933,2935,4905,7151
N-Acetylornithine,97001,102925,45540,33759,38093,29484,59121
L-Cystathionine,62888,19418,39394,13731,7764,38204,17465
L-Carnitine,6571916,7430162,3236641,6610327,3003185,3311109,6728284
D-Sedoheptulose 7-phosphate,64367,63424,32212,33959,22072,9119,23536
1-Methylnicotinamide,10253,8924,10341,8800,9448,14677,10603
N6-Acetyl-L-lysine,938290,4110022,870203,4023375,933414,362784,3024841
L-Phenylalanine,5946060,6335562,3567770,2403996,1489049,1917596,4609290
L-Tyrosine,2473163,2698519,1685680,847855,539480,625801,2020696
Uridine,5945,15261,4600,6608,3994,3833,9396
Uridine 5'-monophosphate,108274,81992,57255,48380,38016,108048,60129
Cytidine,75060,104693,58322,126129,78304,93232,163630
Uridine 5'-diphosphate,40880,49289,15292,29981,11252,14016,28593
Cytidine monophosphate,35351,27775,23219,22390,14459,34997,29743
Carnosine,271597,246578,82946,121906,38542,36957,103109
Uridine triphosphate,14514,9955,2867,4255,2820,0,3605
CDP,12119,13395,3669,3586,3808,0,4112
Cytidine triphosphate,2692,3639,0,0,2083,0,0
L-Acetylcarnitine,3103165,3744443,1425876,2124650,819089,1037049,2268498
Pantothenic acid,6851530,7908720,3338241,5940702,2529923,3254970,7327218
Carbamoyl phosphate,949001,901863,813233,1597793,656193,513975,1627394
